# cointelegraph_historical.tsv - Historical article data from Cointelegraph.com.
#
# This is a tab-separated value file (TSV). Format notes:
#
# - Ignore blank lines.
# - Ignore lines beginning with "#".
# - Columns are:
#    1. Article slug - replace ??? with www.cointelegraph.com/news/???.html for
#    the article URL.
#    2. Publish date - when the article was published
#
andreas-antonopoulos-asks-for-help-and-offers-a-bitcoin-reward	2016-03-28T15:10:00
andreas-antonopoulos-icos-are-total-shit-right-now-revolutionary-in-15-years	2017-09-29T09:37:00
andreas-antonopoulos-reveals-new-way-to-learn-bitcoin-on-joe-rogan-podcast	2016-09-07T20:50:00
andreas-antonopoulos-to-keynote-bitcoin-and-the-future-of-payments-at-decentralmars	2015-03-06T12:52:05
andreas-antonopoulos-to-speak-at-d10e-first-blockchain-conference-with-live-streaming	2016-06-06T17:01:00
andreas-antonopoulos-we-should-be-applauding-bitcoin-mining-centralization-in-china	2016-11-04T14:00:00
andreessen_horowitz_proceeds_to_pour_money_into_bitcoin	2014-03-25T10:06:45
android-users-spread-app-which-empties-bank-accounts	2017-07-07T10:10:00
and-the-winners-of-cointelegraphs-2014-bitcoin-industry-awards-are-	2015-01-16T09:28:58
an_effective_breaking_open_of_telegram_protocol_is_200_000_worth	2013-12-20T15:54:00
a-new-all-in-one-mining-platform-promises-leading-tech-low-costs-and-instant-withdrawals	2018-02-09T22:43:00
a-new-decentralized-platform-helps-investors-enter-the-over-the-counter-ecosystem	2018-01-23T17:33:00
a-new-working-constitution-emerges-to-codify-a-liquid-holacracy-governance-model	2015-12-21T11:36:00
angelina-lazar-my-war-against-onecoin-drugs-to-druids-no-blockchain-in-part-3	2016-10-30T13:05:00
anhui-family-bitcoin-mining-farm-seized-by-chinese-police-for-stealing-electricity	2016-12-16T09:30:00
animal-fat-in-currency-notes-switch-to-bitcoin-it-wont-offend-you	2016-12-10T15:50:00
an-international-group-of-lawyers-academics-publishes-book-on-bitcoin-law	2015-07-16T15:46:00
anonymous-crypto-zcoin-plans-to-eliminate-trusted-setup-by-end-of-2017	2017-04-21T14:48:00
anonymous-deliveries-canada-introduces-blockchain-tor-based-delivery-system	2017-07-18T18:25:00
another-billionaire-reveals-bitcoin-investment-compares-it-to-horse-racing	2017-05-01T17:52:00
another-bitcoin-new-york-agreement-partner-cancels-segwit2x-support	2017-09-01T12:45:00
another-crypto-massacre-in-the-making-big-players-subdued-by-slumps	2017-06-25T15:45:00
another-day-another-scam-ecoin-plus-disappears-with-investors-cash	2017-06-19T15:30:00
